Country Name,Country Code,Series Name,Series Code,1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,2069870129.87013,1272835453.42634,1201312829.27524,1315158636.67553,1468317435.20148,1596968946.23708,1639492444.76152,1893726437.26462,1845482173.02732,1911563668.85006,2118467913.37873,2376335048.39976,2807061008.69084,3576615240.41616,4900469511.10191,6384452066.5146,9206301269.79164,11662040713.8753,8647937081.2562,9260285755.62424,10142111824.5835,10619320682.9474,11121464437.0415,11609513246.7958,10553337518.414,10546136235.5219,11527458709.0158,12457940694.7395,13619290539.2116,12641698583.2152,13878908628.9378,19513506553.1251,24085749592.3359,25786585949.6346
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,572.740260900977,356.350780006933,347.870644720878,390.879964297655,443.924860857976,487.068624404558,505.035887057966,590.239947333459,582.669886150895,593.450581742282,659.588988535629,742.651118319819,882.030167695474,1130.08791444158,1557.48458908655,2041.65267068997,2962.70234594569,3777.66859313767,2820.5926553347,3041.34450723339,3349.55309771906,3511.56399687426,3680.16692158886,3852.11800610384,3512.39350276709,3524.42476874707,3869.05373867752,4196.00562301769,4597.22887399548,4268.68093304583,4685.17997128509,6571.97445545099,8125.27395754003,8500.60522486719
Armenia,ARM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2476.60309205127,1491.61267174295,1440.39367766113,1591.47883514103,1766.91014761234,1921.54998904796,2039.78832278035,2239.42758318044,2376.51916946578,2530.74394657194,2844.36266367009,3282.11706337369,3836.22556768673,4377.22759682551,5172.2189210295,6072.75924479855,7136.75405519953,7827.31666746494,6811.69247959581,7095.21267979009,7624.26772626905,8942.63537897164,9454.87852836557,9736.2349746279,9756.84084836026,10570.2720413936,12066.0043093819,12877.4937543553,14975.7539538157,14706.3173043422,15921.705281964,19161.3700514189,21534.0305361169,22823.1795255692
Armenia,ARM,Gini index,SI.POV.GINI,..,..,..,..,..,44.4,..,..,36.2,..,35.4,34.8,33,37.5,36,29.7,31.2,29.2,28,30,29.4,29.6,30.6,31.5,32.4,32.5,33.6,34.4,30,25.1,27.9,27.9,27.2,..
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,5344000000,444658671.586716,1570392598.14954,1193141110.35043,2417331192.9526,3176507376.31836,3962362387.47922,4446368570.6901,4581248566.50158,5272615722.96892,5707616203.72011,6236087738.28284,7276413079.11451,8680405740.94125,13245421880.834,20981929497.6188,33049419431.2244,48851293785.4483,44292427184.9492,52909294791.9262,65952796427.9473,69679944504.1972,74160560123.6902,75239785452.1022,53076235354.746,37866996882.9157,40866627351.9817,47112470051.7701,48174235294.1176,42693000000,54825411764.7059,78807470588.2353,72428470588.2353,74315882352.9412
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,734.944232805688,60.2351205405972,209.530954548425,157.063549947072,314.55801908334,409.185543774103,505.516204188336,561.906807871869,573.893528734031,655.097249579917,703.670998584686,763.108895463487,883.692580745256,1045.0136328106,1578.36733030667,2472.95725732287,3851.33015175141,5574.46810432575,4950.39949009423,5843.5337683582,7189.81869211976,7495.86527658099,7875.34536661549,7890.84028062087,5500.50364628486,3880.6852276838,4147.1981423222,4739.7943123408,4805.75371765917,4229.91064904503,5408.04535175023,7770.594223351,7133.02838048328,7283.83562954872
Azerbaijan,AZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5412.09760741002,4220.14637720917,3272.23795360409,2647.7653869537,2356.89780387298,2406.77231863848,2565.40828437876,2826.70693721337,3051.94233665211,3439.14443222004,3834.89815686956,4230.40590255405,4718.4211499969,5247.53835061462,6854.93619475823,9398.01323940435,11973.9596381455,13216.8434837487,14245.5035454881,14930.4100337944,14804.5744507911,15994.1466501837,17267.5118919537,17563.6122454385,15075.272634791,14535.8020210633,14315.929643106,15282.9995232298,16675.3179361558,15163.5703327282,20111.3756952109,22552.0886659805,23651.5994551766,25088.9501767555
Azerbaijan,AZE,Gini index,SI.POV.GINI,..,..,..,..,34.6,..,..,..,..,..,36.5,25.3,26.8,26.6,26.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,18404907975.4601,16939790093.9054,16275073526.9819,14931435232.078,13972683273.5692,14756846153.8462,14130585516.1787,15221352698.8944,12138243080.6258,12736780455.1539,12354820143.8849,14594900944.7658,17825444724.4878,23141566292.9462,30210091836.8294,36961894281.3444,45275711995.825,60752106347.126,50873167326.0414,57231904542.8755,61762382327.9319,65685890438.8922,75527558966.4473,78813069120.9984,56454769844.7632,47723545321.259,54725405751.1559,60031026576.26,64410170653.4569,61371673344.7424,69673747131.87,73775179924.603,72478760370.4258,75961865471.9129
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,1805.45592531527,1658.08641281239,1589.51011343649,1460.00791360458,1370.69991385664,1452.5071047646,1396.6571872706,1511.25979105507,1210.5874393672,1276.28038121269,1244.37318523431,1479.38066337175,1819.52653114699,2378.33700470129,3126.07176665248,3848.22350300163,4735.48107556066,6376.17569162063,5352.48809190697,6034.67885177216,6527.6593428786,6953.21591683101,7998.0802045456,8341.31809294883,5967.05595058777,5039.77560949445,5785.54491935194,6360.037502312,6837.77339645635,6542.85579976768,7489.71894713888,7994.64806074889,7896.75388295584,8316.64776291533
